Operação Comercial (Realizado),Leilão,Comercialização,CEG,Tipo de Geração,Origem de Combustível,UF,Usina,UG,Potência Liberada (MW)
2016-05-25 00:00:00,03/2014,ACR,EOL.CV.PE.031819-1.01,EOL,Eólica,PE,Ventos de São Clemente 2,1 a 17,29.155
2016-05-25 00:00:00,03/2014,ACR,EOL.CV.PE.031820-5.01,EOL,Eólica,PE,Ventos de São Clemente 3,1 a 17,29.155
2016-05-25 00:00:00,03/2014,ACR,EOL.CV.PE.031821-3.01,EOL,Eólica,PE,Ventos de São Clemente 4,1 a 17,29.155
2016-05-25 00:00:00,03/2014,ACR,EOL.CV.PE.031823-0.01,EOL,Eólica,PE,Ventos de São Clemente 6,1 a 15,25.725
2016-05-25 00:00:00,03/2014,ACR,EOL.CV.PE.031824-8.01,EOL,Eólica,PE,Ventos de São Clemente 7,1 a 14,24.01
2016-05-26 00:00:00,10/2013,ACR,PCH.PH.GO.031575-3.01,PCH,Hídrica,GO,Fazenda Velha,01,5.5
2016-06-01 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,36,69.59
2016-06-04 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,"7, 10, 11 e 12",8.4
2016-06-04 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031071-9.01,EOL,Eólica,RN,Campo dos Ventos III,10,2.1
2016-06-07 00:00:00,06/2012,ACR,UHE.PH.AP.031186-3.01,UHE,Hídrica,AP,Cachoeira Caldeirão,02,73
2016-06-08 00:00:00,06/2009,ACR,UHE.PH.PA.030354-2.01,UHE,Hídrica,PA,Belo Monte,Pimental 02,38.85
2016-06-10 00:00:00,10/2013,ACR,PCH.PH.GO.029663-5.01,PCH,Hídrica,GO,Rênic,01,4
2016-06-10 00:00:00,10/2013,ACR,PCH.PH.GO.029663-5.01,PCH,Hídrica,GO,Rênic,02,4
2016-06-11 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,"2, 3 e 4",6.3
2016-06-11 00:00:00,Nenhum,Fora do ACR,UTE.PE.SP.031229-0.01,UTE,Fóssil,SP,Petrocoque,1,18
2016-06-11 00:00:00,"",ACR,UTE.RU.SP.035080-0.01,UTE,Biomassa,SP,Tecipar,1 a 3,4.278
2016-06-14 00:00:00,03/2014,ACR,EOL.CV.PE.031822-1.01,EOL,Eólica,PE,Ventos de São Clemente 5,1 a 12,20.58
2016-06-14 00:00:00,Nenhum,Fora do ACR,UTE.AI.SP.030420-4.01,UTE,Biomassa,SP,Buriti,3,25
2016-06-15 00:00:00,03/2014,ACR,EOL.CV.PE.031822-1.01,EOL,Eólica,PE,Ventos de São Clemente 5,13 a 17,8.575
2016-06-16 00:00:00,10/2013,ACR,PCH.PH.GO.029663-5.01,PCH,Hídrica,GO,Rênic,03,4
2016-06-16 00:00:00,10/2013,ACR,PCH.PH.GO.029663-5.01,PCH,Hídrica,GO,Rênic,04,4
2016-06-17 00:00:00,Nenhum,Fora do ACR,UTE.AI.PB.028515-3.01,UTE,Biomassa,PB,Japungu,4,12
2016-06-18 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,1,2.1
2016-06-18 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,43,73.29
2016-06-21 00:00:00,03/2014,ACR,EOL.CV.PE.031825-6.01,EOL,Eólica,PE,Ventos de São Clemente 8,"1a4, 6,7,11 e 12",13.72
2016-06-21 00:00:00,03/2014,ACR,EOL.CV.PE.031825-6.01,EOL,Eólica,PE,Ventos de São Clemente 8,"5, 8, 9 e 10",6.86
2016-06-23 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,10 e 12,4.2
2016-06-25 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,8 e 11,4.2
2016-06-28 00:00:00,10/2013,ACR,PCH.PH.GO.031575-3.01,PCH,Hídrica,GO,Fazenda Velha,02,5.5
2016-06-29 00:00:00,05/2007,ACR,UHE.PH.RO.029707-0.01,UHE,Hídrica,RO,Santo Antônio,44,73.29
2016-06-30 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,7 e 9,4.2
2016-06-30 00:00:00,05/2010,ACR,PCH.PH.MT.030642-8.01,PCH,Hídrica,MT,Inxú,01,10.3
2016-06-30 00:00:00,05/2010,ACR,PCH.PH.MT.030642-8.01,PCH,Hídrica,MT,Inxú,02,10.3
2016-07-01 00:00:00,02/2011,ACR,UTE.GN.MA.030800-5.01,UTE,Fóssil,MA,Maranhão III,1,168.8
2016-07-01 00:00:00,02/2011,ACR,UTE.GN.MA.030800-5.01,UTE,Fóssil,MA,Maranhão III,2,168.8
2016-07-01 00:00:00,02/2011,ACR,UTE.GN.MA.030800-5.01,UTE,Fóssil,MA,Maranhão III,3,181.2
2016-07-02 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,5,2.1
2016-07-02 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,6,2.1
2016-07-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.PI.031275-4.01,EOL,Eólica,PI,Ventos de Santa Angelina,1 a 11,29.7
2016-07-05 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,5,2.1
2016-07-07 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,6,2.1
2016-07-07 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,3,2.1
2016-07-08 00:00:00,06/2013,ACR,PCH.PH.PE.030572-3.01,PCH,Hídrica,PE,Luiz Dias Lins (Antiga Manopla),02,2.876
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032285-7.01,UTE,Fóssil,RO,CNH Alvorada do Oeste,1 a 5,5.6
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032285-7.01,UTE,Fóssil,RO,CNH Alvorada do Oeste,6,1.14
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032287-3.01,UTE,Fóssil,RO,CNH Campo Novo,1 a 8,3.52
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032289-0.01,UTE,Fóssil,RO,CNH Costa Marques,1 a 6,6.74
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032293-8.01,UTE,Fóssil,RO,CNH São Francisco,1 a 8,8.1
2016-07-08 00:00:00,01/2014,ACR,UTE.PE.RO.032294-6.01,UTE,Fóssil,RO,CNH Vale do Anari,1 a 11,4.84
2016-07-09 00:00:00,01/2016,ACR,UTE.AI.SP.032525-2.01,UTE,Biomassa,SP,N O Bioenergia,1,18
2016-07-12 00:00:00,Nenhum,Fora do ACR,PCH.PH.MS.031438-2.01,PCH,Hídrica,MS,Lajeado,01,4.419
2016-07-12 00:00:00,Nenhum,Fora do ACR,PCH.PH.MS.031438-2.01,PCH,Hídrica,MS,Lajeado,02,4.419
2016-07-13 00:00:00,01/2014,ACR,UTE.PE.RO.032296-2.01,UTE,Fóssil,RO,CNH Vila Extrema,1 a 11,4.84
2016-07-14 00:00:00,07/2011,ACR,EOL.CV.RN.031025-5.01,EOL,Eólica,RN,Macambira I,"1, 8 e 9",6
2016-07-14 00:00:00,07/2011,ACR,EOL.CV.RN.031025-5.01,EOL,Eólica,RN,Macambira I,2 a 7,12
2016-07-14 00:00:00,01/2014,ACR,UTE.PE.RO.032297-0.01,UTE,Fóssil,RO,CNH Vista Alegre,1 a 9,9.2
2016-07-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031072-7.01,EOL,Eólica,RN,Campo dos Ventos I,"1, 2 e 4",6.3
2016-07-15 00:00:00,Nenhum,Fora do ACR,UTE.RU.SP.031436-6.01,UTE,Biomassa,SP,Termoverde Caieiras,1 a 21,29.547
2016-07-16 00:00:00,06/2009,ACR,UHE.PH.PA.030354-2.01,UHE,Hídrica,PA,Belo Monte,Belo Monte 02,611.11
2016-07-16 00:00:00,02/2011,ACR,UTE.AI.MS.030269-4.01,UTE,Biomassa,MS,Iaco Agrícola,2,34
2016-07-23 00:00:00,07/2011,ACR,EOL.CV.RN.031026-3.01,EOL,Eólica,RN,Macambira II,1 a 5,10
2016-07-23 00:00:00,07/2011,ACR,EOL.CV.RN.031026-3.01,EOL,Eólica,RN,Macambira II,6 a 9,8
2016-07-27 00:00:00,Nenhum,Fora do ACR,CGH.PH.MT.029151-0.02,CGH,Hídrica,MT,Santa Cecília,01,1.75
2016-07-27 00:00:00,03/2014,ACR,EOL.CV.CE.031813-2.01,EOL,Eólica,CE,Itarema IV,1 a 7,21
2016-07-27 00:00:00,03/2014,ACR,EOL.CV.CE.031815-9.01,EOL,Eólica,CE,Itarema VI,1 a 8,24
2016-07-27 00:00:00,03/2014,ACR,EOL.CV.CE.031816-7.01,EOL,Eólica,CE,Itarema VII,1 a 7,21
2016-07-27 00:00:00,03/2014,ACR,EOL.CV.CE.031817-5.01,EOL,Eólica,CE,Itarema VIII,1 a 7,21
2016-07-27 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031069-7.01,EOL,Eólica,RN,Campo dos Ventos V,8 e 9,4.2
2016-07-29 00:00:00,03/2014,ACR,EOL.CV.CE.031814-0.01,EOL,Eólica,CE,Itarema IX,1 a 10,30
2016-07-29 00:00:00,Nenhum,Fora do ACR,UTE.FL.PR.031098-0.01,UTE,Biomassa,PR,Klabin Celulose,2,165
2016-08-04 00:00:00,04/2010,ACR,UHE.PH.PA.030557-0.01,UHE,Hídrica,PA,Teles Pires,03,363.96
2016-08-04 00:00:00,04/2010,ACR,UHE.PH.PA.030557-0.01,UHE,Hídrica,PA,Teles Pires,04,363.96
2016-08-04 00:00:00,04/2010,ACR,UHE.PH.PA.030557-0.01,UHE,Hídrica,PA,Teles Pires,05,363.96
2016-08-05 00:00:00,06/2012,ACR,UHE.PH.AP.031186-3.01,UHE,Hídrica,AP,Cachoeira Caldeirão,03,73
2016-08-05 00:00:00,06/2009,ACR,UHE.PH.PA.030354-2.01,UHE,Hídrica,PA,Belo Monte,Pimental 03,38.85
2016-08-06 00:00:00,Nenhum,Fora do ACR,UTE.FL.PR.031098-0.01,UTE,Biomassa,PR,Klabin Celulose,1,165
2016-08-06 00:00:00,10/2015,ACR,UTE.PE.AC.034376-5.01,UTE,Fóssil,AC,Manoel Urbano - TECG,1 a 5,2.22
2016-08-10 00:00:00,06/2013,ACR,PCH.PH.PE.030572-3.01,PCH,Hídrica,PE,Luiz Dias Lins (Antiga Manopla),01,2.876
2016-08-12 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,10,2.2
2016-08-12 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,6,2.2
2016-08-12 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,7,2.2
2016-08-12 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,8,2.2
2016-08-12 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,9,2.2
2016-08-12 00:00:00,01/2014,ACR,UTE.PE.RO.032292-0.01,UTE,Fóssil,RO,CNH Nova Califórnia,1 a 11,4.84
2016-08-13 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,4 a 6,6.3
2016-08-13 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,"8 a11,13 e 14",12.6
2016-08-13 00:00:00,10/2015,ACR,UTE.PE.AC.034375-7.01,UTE,Fóssil,AC,Assis Brasil - TECG,1 a 5,2.2
2016-08-17 00:00:00,10/2013,ACR,EOL.CV.RN.031750-0.01,EOL,Eólica,RN,Vila Amazonas V,1 a 8,24
2016-08-20 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,43,75
2016-08-24 00:00:00,Nenhum,Fora do ACR,UTE.RU.PR.035069-9.04,UTE,Biomassa,PR,Curitiba Energia,1 a 3,4.278
2016-08-27 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.032215-6.01,EOL,Eólica,RN,São Domingos,"6, 9 e 12",6.3
2016-08-30 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,12,2.1
2016-08-31 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,5,2.2
2016-09-01 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.032215-6.01,EOL,Eólica,RN,São Domingos,"4, 5, 7 e 8",8.4
2016-09-03 00:00:00,Nenhum,Fora do ACR,UHE.PH.PR.028994-9.01,UHE,Hídrica,PR,Salto Curucaca,4,14.85
2016-09-03 00:00:00,Nenhum,Fora do ACR,UHE.PH.PR.028994-9.01,UHE,Hídrica,PR,Salto Curucaca,5,14.85
2016-09-09 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,44,75
2016-09-10 00:00:00,10/2013,ACR,EOL.CV.RN.031759-4.01,EOL,Eólica,RN,Vila Pará I,1 a 4 e 7 a 9,21
2016-09-10 00:00:00,10/2013,ACR,EOL.CV.RN.031759-4.01,EOL,Eólica,RN,Vila Pará I,5 e 6,6
2016-09-10 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.032215-6.01,EOL,Eólica,RN,São Domingos,2 e 10,4.2
2016-09-15 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,1,2.2
2016-09-15 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,2,2.2
2016-09-15 00:00:00,04/2015,ACR,EOL.CV.PI.033479-0.01,EOL,Eólica,PI,Testa Branca III,3 e 4,4.4
2016-09-15 00:00:00,10/2013,ACR,EOL.CV.RN.031757-8.01,EOL,Eólica,RN,Vila Pará II,1 e 2,6
2016-09-15 00:00:00,10/2013,ACR,EOL.CV.RN.031757-8.01,EOL,Eólica,RN,Vila Pará II,3 e 4,6
2016-09-15 00:00:00,10/2015,ACR,UTE.PE.AC.034412-5.01,UTE,Fóssil,AC,Marechal Thaumaturgo – BBF Acre,1 a 10,3.755
2016-09-15 00:00:00,10/2015,ACR,UTE.PE.AC.034413-3.01,UTE,Fóssil,AC,Porto Walter – BBF Acre,1 a 12,3.692
2016-09-15 00:00:00,10/2015,ACR,UTE.PE.AC.034414-1.01,UTE,Fóssil,AC,Jordão – BBF Acre,1 a 10,2.044
2016-09-15 00:00:00,10/2015,ACR,UTE.PE.AC.034415-0.01,UTE,Fóssil,AC,Santa Rosa do Purus – BBF Acre,1 a 9,2.055
2016-09-16 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.032215-6.01,EOL,Eólica,RN,São Domingos,"1, 3",4.2
2016-09-16 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,45,75
2016-09-17 00:00:00,06/2013,ACR,UHE.PH.MT.031401-3.01,UHE,Hídrica,MT,Salto Apiacás,1,15
2016-09-17 00:00:00,06/2013,ACR,UHE.PH.MT.031401-3.01,UHE,Hídrica,MT,Salto Apiacás,2,15
2016-09-17 00:00:00,06/2013,ACR,UHE.PH.MT.031401-3.01,UHE,Hídrica,MT,Salto Apiacás,3,15
2016-09-21 00:00:00,10/2013,ACR,EOL.CV.RN.031757-8.01,EOL,Eólica,RN,Vila Pará II,5 e 6,6
2016-09-21 00:00:00,10/2013,ACR,EOL.CV.RN.031757-8.01,EOL,Eólica,RN,Vila Pará II,7 e 8,6
2016-09-22 00:00:00,06/2013,ACR,PCH.PH.MT.029734-8.01,PCH,Hídrica,MT,Da Fazenda,1,13.5
2016-09-23 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,10,2.2
2016-09-23 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,7,2.2
2016-09-23 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,8 e 9,4.4
2016-09-24 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,2 e 3,4.2
2016-09-24 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.032215-6.01,EOL,Eólica,RN,São Domingos,11,2.1
2016-09-28 00:00:00,07/2010,ACR,EOL.CV.CE.030584-7.01,EOL,Eólica,CE,Ventos de Tianguá Norte,1 a 16,27.04
2016-09-28 00:00:00,07/2010,ACR,EOL.CV.CE.030585-5.01,EOL,Eólica,CE,Ventos de Tianguá,1 a 15,25.35
2016-09-28 00:00:00,07/2010,ACR,EOL.CV.CE.030596-0.01,EOL,Eólica,CE,Ventos do Parazinho,1 a 16,27.04
2016-09-28 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,4 a 6,6.6
2016-10-01 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,1,2.1
2016-10-01 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031373-4.01,EOL,Eólica,RN,Ventos de São Benedito,7,2.1
2016-10-01 00:00:00,01/2014,ACR,UTE.PE.RO.032286-5.01,UTE,Fóssil,RO,CNH Buritis,1 a 18,18
2016-10-01 00:00:00,01/2014,ACR,UTE.PE.RO.032290-3.01,UTE,Fóssil,RO,CNH Cujubim,1 a 12,12
2016-10-01 00:00:00,01/2014,ACR,UTE.PE.RO.032291-1.01,UTE,Fóssil,RO,CNH Machadinho,1 a 15,15
2016-10-01 00:00:00,01/2014,ACR,UTE.PE.RO.032299-7.01,UTE,Fóssil,RO,CNH Izidolandia,1 a 2,0.88
2016-10-04 00:00:00,Nenhum,Fora do ACR,UTE.AI.SE.029685-6.01,UTE,Biomassa,SE,São José do Pinheiro,4,10
2016-10-06 00:00:00,07/2010,ACR,EOL.CV.CE.030582-0.01,EOL,Eólica,CE,Ventos do Morro do Chapéu,1 a 15,25.35
2016-10-07 00:00:00,07/2010,ACR,EOL.CV.CE.030595-2.01,EOL,Eólica,CE,Vento Formoso,1 a 15,25.35
2016-10-07 00:00:00,10/2013,ACR,EOL.CV.RN.031765-9.01,EOL,Eólica,RN,Vila Pará III,1,3
2016-10-07 00:00:00,10/2013,ACR,EOL.CV.RN.031765-9.01,EOL,Eólica,RN,Vila Pará III,"2, 3 e 4",9
2016-10-11 00:00:00,04/2015,ACR,EOL.CV.CE.032013-7.01,EOL,Eólica,CE,Santa Mônica I,5 e 6,5.4
2016-10-11 00:00:00,04/2015,ACR,EOL.CV.CE.032013-7.01,EOL,Eólica,CE,Santa Mônica I,7,2.7
2016-10-11 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,1,2.2
2016-10-11 00:00:00,10/2013,ACR,EOL.CV.PI.031666-0.01,EOL,Eólica,PI,Testa Branca I,2 e 3,4.4
2016-10-11 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,"1,2,4,5e6",10.5
2016-10-11 00:00:00,10/2013,ACR,EOL.CV.RN.031765-9.01,EOL,Eólica,RN,Vila Pará III,6 e 7,6
2016-10-11 00:00:00,10/2013,ACR,EOL.CV.RN.031765-9.01,EOL,Eólica,RN,Vila Pará III,8,3
2016-10-14 00:00:00,Nenhum,Fora do ACR,UTE.CM.CE.031241-0.02,UTE,Fóssil,CE,CSP,1,18
2016-10-14 00:00:00,Nenhum,Fora do ACR,UTE.CM.CE.031241-0.02,UTE,Fóssil,CE,CSP,2,100
2016-10-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,3,2.1
2016-10-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,8,2.1
2016-10-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,9 e 14,4.2
2016-10-18 00:00:00,03/2016,ACR,CGH.PH.MG.029644-9.01,CGH,Hídrica,MG,João Franco,2,0.33
2016-10-20 00:00:00,03/2011,ACR,EOL.CV.CE.030841-2.01,EOL,Eólica,CE,Malhadinha 1,1 a 11,23.1
2016-10-20 00:00:00,10/2013,ACR,EOL.CV.RN.031765-9.01,EOL,Eólica,RN,Vila Pará III,5,3
2016-10-20 00:00:00,06/2014,ACR,UTE.AI.GO.029999-5.01,UTE,Biomassa,GO,Porto das Águas,4,45
2016-10-22 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,11 e 12,4.2
2016-10-22 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,7,2.1
2016-10-22 00:00:00,06/2013,ACR,PCH.PH.MT.029734-8.01,PCH,Hídrica,MT,Da Fazenda,2,13.5
2016-10-26 00:00:00,04/2015,ACR,EOL.CV.CE.032013-7.01,EOL,Eólica,CE,Santa Mônica I,1,2.7
2016-10-26 00:00:00,04/2015,ACR,EOL.CV.CE.032013-7.01,EOL,Eólica,CE,Santa Mônica I,2 e 3,5.4
2016-10-26 00:00:00,04/2015,ACR,EOL.CV.CE.032013-7.01,EOL,Eólica,CE,Santa Mônica I,4,2.7
2016-10-27 00:00:00,03/2015,ACR,PCH.PH.PR.029222-2.01,PCH,Hídrica,PR,Tigre,01 a 02,9
2016-11-02 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,10,2.1
2016-11-02 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031372-6.01,EOL,Eólica,RN,Ventos de Santo Dimas,13,2.1
2016-11-02 00:00:00,06/2009,ACR,UHE.PH.PA.030354-2.01,UHE,Hídrica,PA,Belo Monte,Belo Monte 03,611.11
2016-11-04 00:00:00,10/2013,ACR,EOL.CV.PI.030639-8.01,EOL,Eólica,PI,Porto do Delta,1 a 4,8.8
2016-11-04 00:00:00,10/2013,ACR,EOL.CV.PI.030639-8.01,EOL,Eólica,PI,Porto do Delta,10 a 14,11
2016-11-04 00:00:00,10/2013,ACR,EOL.CV.PI.030639-8.01,EOL,Eólica,PI,Porto do Delta,5 a 9,11
2016-11-04 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031412-9.01,EOL,Eólica,RN,Ventos de São Martinho,1 a 7,14.7
2016-11-04 00:00:00,06/2009,ACR,UHE.PH.PA.030354-2.01,UHE,Hídrica,PA,Belo Monte,Pimental 04,38.85
2016-11-04 00:00:00,Nenhum,Fora do ACR,UTE.CM.CE.031241-0.02,UTE,Fóssil,CE,CSP,3,100
2016-11-05 00:00:00,06/2013,ACR,PCH.PH.MT.029733-0.01,PCH,Hídrica,MT,Cabeça de Boi,01,15
2016-11-05 00:00:00,06/2013,ACR,PCH.PH.MT.029733-0.01,PCH,Hídrica,MT,Cabeça de Boi,02,15
2016-11-08 00:00:00,10/2015,ACR,UTE.PE.AC.034372-2.01,UTE,Fóssil,AC,Cruzeiro do Sul – CEA,1 a 38,33.12
2016-11-08 00:00:00,10/2015,ACR,UTE.PE.AC.034373-0.01,UTE,Fóssil,AC,Tarauacá – CEA,1 a 11,7.65
2016-11-08 00:00:00,10/2015,ACR,UTE.PE.AC.034374-9.01,UTE,Fóssil,AC,Feijó – CEA,1 a 12,5.875
2016-11-12 00:00:00,Nenhum,Fora do ACR,UTE.AI.MG.032677-1.01,UTE,Biomassa,MG,Agropéu,1 e 2,21.6
2016-11-12 00:00:00,Nenhum,Fora do ACR,UTE.AI.MT.034012-0.01,UTE,Biomassa,MT,Caramuru Sorriso,1,9.696
2016-11-15 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031425-0.01,EOL,Eólica,RN,Santa Úrsula,"1,11,12 e 13",8.4
2016-11-15 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,50,75
2016-11-17 00:00:00,07/2011,ACR,EOL.CV.RN.030876-5.01,EOL,Eólica,RN,Parque Eólico Cabeço Preto V,1 a 13,26
2016-11-17 00:00:00,07/2011,ACR,EOL.CV.RN.031015-8.01,EOL,Eólica,RN,Parque Eólico Cabeço Preto III,1 a 13,26
2016-11-19 00:00:00,07/2011,ACR,EOL.CV.RN.030900-1.01,EOL,Eólica,RN,Parque Eólico Cabeço Preto VI,1 a 9,12
2016-11-19 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031425-0.01,EOL,Eólica,RN,Santa Úrsula,6 a 10,10.5
2016-11-23 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,46,75
2016-11-23 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,47,75
2016-11-23 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,48,75
2016-11-23 00:00:00,05/2008,ACR,UHE.PH.RO.029736-4.01,UHE,Hídrica,RO,Jirau,49,75
2016-11-24 00:00:00,01/2016,ACR,PCH.PH.PR.029686-4.01,PCH,Hídrica,PR,Salto Bandeirantes,01,2.1
2016-11-24 00:00:00,01/2016,ACR,PCH.PH.PR.029686-4.01,PCH,Hídrica,PR,Salto Bandeirantes,02,2.1
2016-11-26 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031425-0.01,EOL,Eólica,RN,Santa Úrsula,2 e 4,4.2
2016-11-26 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031425-0.01,EOL,Eólica,RN,Santa Úrsula,5,2.1
2016-12-02 00:00:00,09/2013,ACR,EOL.CV.RS.031509-5.01,EOL,Eólica,RS,Pontal 2 A,1 a 4,10.8
2016-12-03 00:00:00,Nenhum,Fora do ACR,UTE.RU.SP.031440-4.01,UTE,Biomassa,SP,Guatapará,4,1.426
2016-12-09 00:00:00,10/2013,ACR,EOL.CV.PE.031763-2.01,EOL,Eólica,PE,Ventos de Santo Estevão III,1 a 13,29.9
2016-12-09 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031425-0.01,EOL,Eólica,RN,Santa Úrsula,3,2.1
2016-12-09 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031427-7.01,EOL,Eólica,RN,Santa Mônica,10,2.1
2016-12-09 00:00:00,Nenhum,Fora do ACR,EOL.CV.RN.031427-7.01,EOL,Eólica,RN,Santa Mônica,"12, 13 e 14",6.3
2016-12-09 00:00:00,"",ACR,UTE.AI.SP.028063-1.01,UTE,Biomassa,SP,Casa de Força,2,4
2016-12-13 00:00:00,10/2013,ACR,EOL.CV.PE.031764-0.01,EOL,Eólica,PE,Ventos de Santo Estevão V,1 a 10,23
